"","x"
"d27b_1","Zweitwichtigstes Problem (1. Codierung)"
"d27b_2","Zweitwichtigstes Problem (2. Codierung)"
"d27bs","Zweitwichtigstes Problem (offene Nennung)"
"d27c_1","Drittwichtigstes Problem (1. Codierung)"
"d27c_2","Drittwichtigstes Problem (2. Codierung)"
"d27c_3","Drittwichtigstes Problem (3. Codierung)"
"d27cs","Drittwichtigstes Problem (offene Nennung)"
"d28aa","Problemloesungskompetenz, 1. Problem (Version A)"
"d28ab","Problemloesungskompetenz, 1. Problem (Version B)"
"d28ba","Problemloesungskompetenz, 2. Problem (Version A)"
"d28bb","Problemloesungskompetenz, 2. Problem (Version B)"
"d28ca","Problemloesungskompetenz, 3. Problem (Version A)"
"d28cb","Problemloesungskompetenz, 3. Problem (Version B)"
"d100a","Conflict avoidance: Mag wenn andere mich zu Diskussionen herausfordern"
"d100b","Need for evaluation: bilde mir nur dann eine Meinung wenn es sein muss"
"d100c","Conflict avoidance: hasse Diskussionen"
"d100d","Need for evaluation: Habe mehr Ueberzeugungen als der Durchschnitt der Bev."
"d100e","Conflict avoidance: oft in Diskussionen"
"d100f","Need for evaluation: bilde mir zu allem eine Meinung"
"d32as","Gute Eigenschaften Merkel "
"d32bs","Schlechte Eigenschaften Merkel "
"D32BS0","Schlechte Eigenschaften Merkel "
"d33as","Gute Eigenschaften Steinbrueck "
"d33bs","Schlechte Eigenschaften Steinbrueck "
"D33BS0","Schlechte Eigenschaften Steinbrueck "
"d29","Unterschiede Parteien"
"d101a","Aussagen zum Wahlkampf: Meinungsverschiedenheiten"
"d101b","Aussagen zum Wahlkampf: Sachliche Kritik"
"d101c","Aussagen zum Wahlkampf: Persoenlicher Angriff"
"d101d","Aussagen zum Wahlkampf: Im Ton vergreifen/nicht hinnehmbar"
"d101e","Aussagen zum Wahlkampf: Harte Auseinandersetzungen"
"d101f","Aussagen zum Wahlkampf: Privatleben"
"d101g","Aussagen zum Wahlkampf: Gegenseitige Beschuldigung"
"d30","Zufriedenheit: Bundesregierung"
"d36a","Eigenschaften Merkel: gutes Wirtschaftskonzept"
"d36b","Eigenschaften Merkel: politisch vertrauenswuerdig"
"d36c","Eigenschaften Merkel: als Mensch sympathisch"
"d36d","Eigenschaften Merkel: denkt an Wohl des Menschen"
"d36e","Eigenschaften Merkel: entscheidungsfreudig"
"d36f","Eigenschaften Merkel: angenehme Ausstrahlung"
"d36g","Eigenschaften Merkel: fuehrungsstark"
"d36h","Eigenschaften Merkel: Problemloesungskompetenz"
"d36i","Eigenschaften Merkel: ehrlich"
"d36j","Eigenschaften Merkel: kuemmert sich um die Sorgen der Buerger"
"d37a","Eigenschaften Steinbrueck: gutes Wirtschaftskonzept"
"d37b","Eigenschaften Steinbrueck: politisch vertrauenswuerdig"
"d37c","Eigenschaften Steinbrueck: als Mensch sympathisch"
"d37d","Eigenschaften Steinbrueck: denkt an Wohl des Menschen"
"d37e","Eigenschaften Steinbrueck: entscheidungsfreudig"
"d37f","Eigenschaften Steinbrueck: angenehme Ausstrahlung"
"d37g","Eigenschaften Steinbrueck: fuehrungsstark"
"d37h","Eigenschaften Steinbrueck: Problemloesungskompetenz"
"d37i","Eigenschaften Steinbrueck: ehrlich"
"d37j","Eigenschaften Steinbrueck: kuemmert sich um die Sorgen der Buerger"
"d38","Kanzlerpraeferenz"
"d102a","Need for affect: emotionale Person"
"d102b","Need for cognition: stundenlang Denken"
"d102c","Need for affect: Auseinandersetzen mit Gefuehlen"
"d102d","Accuracy goal: moechte ueber Parteien und Programme genau Bescheid wissen"
"d102e","Need for affect: andere fuehlen"
"d102f","Achte mehr auf das Ganze, weniger Details"
"d102g","Need for affect: Einklang Gefuehle"
"d39b","Nutzungsmotiv TV-Duell: Hilfe bei Wahlentscheidung"
"d39e","Nutzungsmotiv TV-Duell: Ideen der Kandidaten direkt miteinander vergleichen"
"d39g","Nutzungsmotiv TV-Duell: gute Gelegenheit Bild von Persoenl. d. Kand. zu bekommen"
"d39i","Nutzungsmotiv TV-Duell: Show-Veranstaltung"
"d39f","Nutzungsmotiv TV-Duell: spannend"
"d103","Zweck Wahlkampf"
"d104","Zweck von Wahlen"
"d41a","Wahlkampf: Parteien zu negativ"
"d41b","Wahlkampf: nur Personen im Vordergrund"
"d41c","Wahlkampf: zu wenig politische Inhalte"
"d105","Steinbrueck Mittelfinger: Bewertung"
"d106","Steinbrueck Mittelfinger: Bild gesehen"
"d107","Steinbrueck Mittelfinger: Medienberichte verfolgt"
"d108","Steinbrueck Mittelfinger: Medienberichterstattung"
"d109","Steinbrueck Mittelfinger: Interpersonale Kommunikation stattgefunden"
"d110","Steinbrueck Mittelfinger: Interpersonale Kommunikation Bewertung"
"d_datum","Ausfuelldatum des Befragten  4. Welle"
"d200","Versanddatum 4. Welle"
